49.514,-0.0004592,0.00012082
49.714,-0.0004592,0.00012082
49.914,-0.0004592,0.00012083
50.114,-0.0004592,0.00012084
50.314,-0.00045919,0.00012084
50.514,-0.00045919,0.00012085
50.714,-0.00045919,0.00012086
50.914,-0.00045919,0.00012087
51.114,0.2178,0.062631
51.314,0.30195,-0.0011504
51.514,0.30163,8.3066e-06
51.714,0.30175,-0.00016403
51.914,0.30176,-0.00041712
52.114,0.30163,-1.1945e-06
52.314,0.30212,-0.00077237
52.514,0.30209,-0.0010288
52.714,0.3021,-0.0010379
52.914,0.3256,0.21854
53.114,0.33946,0.22333
53.314,0.34772,0.22966
53.514,0.35025,0.24023
53.714,0.34688,0.25798
53.914,0.33739,0.28653
54.114,0.32149,0.33066
54.314,0.29959,0.0002425
54.514,0.29958,0.00023088
54.714,0.29957,0.00019317
54.914,0.29954,9.2216e-05
55.114,0.29954,7.1791e-05
55.314,0.29955,0.00015882
55.514,0.29957,0.00022208
55.714,0.29958,0.00023903
55.914,0.29958,0.00023964
56.114,0.29958,0.00022846
56.314,0.29956,0.00018287
56.514,0.29954,8.3264e-05
56.714,0.29954,7.5411e-05
56.914,0.29956,0.00017332
57.114,0.27682,0.38945
57.314,0.28414,0.39039
57.514,0.29287,0.00054815
57.714,0.2929,0.00062008
57.914,0.29287,0.00069213
58.114,0.29285,0.00074932
58.314,0.29285,0.00076214
58.514,0.32455,-0.39221
58.714,0.29293,0.00058373
58.914,0.29285,0.00042993
59.114,0.29286,0.00052775
59.314,0.31767,-0.34175
59.514,0.33543,-0.35531
59.714,0.347,-0.33101
59.914,0.35741,-0.30359
60.114,0.29955,0.0001317
60.314,0.29955,0.00017153
60.514,0.29957,0.00021484
60.714,0.29958,0.00023108
60.914,0.29959,0.00023333
61.114,0.29958,0.00022433
61.314,0.29956,0.00019497
61.514,0.29954,0.00013257
61.714,0.29954,0.00011618
61.914,0.32948,-0.25161
62.114,0.33681,-0.20502
62.314,0.34311,-0.19846
62.514,0.29957,0.0002221
62.714,0.29957,0.00022759
62.914,0.29957,0.00022717
63.114,0.29956,0.00020728
63.314,0.29954,0.00013025
63.514,0.30828,-0.18845
63.714,0.29642,-0.17557
63.914,0.27656,-0.11236
64.114,0.28443,-0.13321
64.314,0.29091,-0.13554
64.514,0.29289,0.00072535
64.714,0.29284,0.00072355
64.914,0.29284,0.00072864
65.114,0.27339,-0.14834
65.314,0.24188,-0.29339
65.514,0.21438,-0.21953
65.714,0.20885,-0.23906
65.914,0.12262,-0.076958
66.114,0.093138,-0.10217
66.314,0.077783,-0.12476
66.514,0.06733,-0.15033
66.714,0.21007,-0.32467
66.914,0.24659,-0.37067
67.114,0.25783,-0.38841
67.314,0.2693,-0.40155
67.514,0.28114,-0.40994
67.714,0.29321,-0.4134
